Clasica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200- 1Hilo,200- 2Hilos,200- 4Hilos,200- 6Hilos,200- 8Hilos,400- 1Hilos,400- 2Hilos,400- 4Hilos,400- 6Hilos,400 -8Hilos,800- 1Hilos,800- 2Hilos,800- 4Hilos,800- 6Hilos,800 -8Hilos,1000- 1Hilos,1000- 2Hilos,1000- 4Hilos,1000- 6Hilos,1000 -8Hilos,1400- 1Hilos,1200- 2Hilos,1200- 4Hilos,1200- 6Hilos,1200 -8Hilos,1400- 1Hilos,1400- 2Hilos,1400- 4Hilos,1400- 6Hilos,1400 -8Hilos
283664,363713,949360,402904,837175,1244619,1172793,918555,362217,574442,3789937,2097891,966705,1297726,814878,4673646,3190011,1783120,1783120,2109491,9469111,5269463,2308610,3370861,2712808,14804647,8170355,5524758,4392519,5156856
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334985,388721,967198,416940,849219,583237,347737,1009960,436364,641948,4423935,1749313,1785003,1009396,1349970,5268999,2578570,2392876,2392876,950952,9038038,5171187,3404015,2942982,3470089,15425573,8106643,8146700,5224109,5069514
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399732,414058,982585,433688,866361,919242,521531,121260,510858,719712,4033781,2307063,1685628,728007,859847,4946016,3235270,2095908,2095908,2498257,8622352,4900096,3407017,3997776,3279161,14609539,7556902,4708378,5193627,4495124
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443612,439921,998153,447763,883820,1254076,695416,226242,584185,788952,3614446,1969835,1470583,1340905,1391263,5762500,2898192,1631246,1631246,1955760,9187924,6430133,3574952,2590209,3069257,15193745,8872367,5395305,4943493,5512092
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487948,466995,13382,461111,901398,613529,872150,318142,658309,853707,4225292,1778656,1437436,936436,898187,5463079,3373104,2212060,2212060,2441858,8717514,4757539,3542631,3498248,2435342,14744287,8963866,5259244,4210178,5225595
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532481,500275,28894,474236,918499,961298,1054347,405339,730671,921602,3824710,2403396,1456659,1543170,1414805,5030509,3035396,2029512,2029512,1944260,9138489,5541526,3698488,3263967,3221150,15199212,8879994,5360791,5122792,5118224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
